"V1"	"V2"	"V3"	"V4"
249180270	"ISTEBNA-MŁODAGÓRA"	19510716	10.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510717	0.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510718	0.3
249180270	"ISTEBNA-MŁODAGÓRA"	19510721	1.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510724	3.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510725	14.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510726	7.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510727	6.7
249180270	"ISTEBNA-MŁODAGÓRA"	19510728	2.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510803	0.6
249180270	"ISTEBNA-MŁODAGÓRA"	19510805	6.3
249180270	"ISTEBNA-MŁODAGÓRA"	19510806	0.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510809	7.8
249180270	"ISTEBNA-MŁODAGÓRA"	19510810	0.7
249180270	"ISTEBNA-MŁODAGÓRA"	19510811	3.1
249180270	"ISTEBNA-MŁODAGÓRA"	19510814	18.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510816	4.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510817	4.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510822	15.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510823	12.7
249180270	"ISTEBNA-MŁODAGÓRA"	19510824	2.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510826	19.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510827	1.6
249180270	"ISTEBNA-MŁODAGÓRA"	19510901	0.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510903	0.3
249180270	"ISTEBNA-MŁODAGÓRA"	19510917	4.2
249180270	"ISTEBNA-MŁODAGÓRA"	19510919	8.9
249180270	"ISTEBNA-MŁODAGÓRA"	19510920	12.4
249180270	"ISTEBNA-MŁODAGÓRA"	19510921	1.6
249180270	"ISTEBNA-MŁODAGÓRA"	19510924	4.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510927	4.5
249180270	"ISTEBNA-MŁODAGÓRA"	19510928	3.1
249180270	"ISTEBNA-MŁODAGÓRA"	19511023	1.4
249180270	"ISTEBNA-MŁODAGÓRA"	19511102	5.2
249180270	"ISTEBNA-MŁODAGÓRA"	19511103	1.3
249180270	"ISTEBNA-MŁODAGÓRA"	19511104	0.4
249180270	"ISTEBNA-MŁODAGÓRA"	19511114	1.1
249180270	"ISTEBNA-MŁODAGÓRA"	19511115	3.1
249180270	"ISTEBNA-MŁODAGÓRA"	19511121	9.9
249180270	"ISTEBNA-MŁODAGÓRA"	19511122	21
249180270	"ISTEBNA-MŁODAGÓRA"	19511123	6.3
249180270	"ISTEBNA-MŁODAGÓRA"	19511124	9.8
249180270	"ISTEBNA-MŁODAGÓRA"	19511125	6.9
249180270	"ISTEBNA-MŁODAGÓRA"	19511126	3.7
249180270	"ISTEBNA-MŁODAGÓRA"	19511127	4.6
249180270	"ISTEBNA-MŁODAGÓRA"	19511128	3.5
249180270	"ISTEBNA-MŁODAGÓRA"	19511129	12.1
249180270	"ISTEBNA-MŁODAGÓRA"	19511130	26.2
249180270	"ISTEBNA-MŁODAGÓRA"	19511203	1.9
249180270	"ISTEBNA-MŁODAGÓRA"	19511204	37.2
249180270	"ISTEBNA-MŁODAGÓRA"	19511205	2.2
249180270	"ISTEBNA-MŁODAGÓRA"	19511209	1.1
249180270	"ISTEBNA-MŁODAGÓRA"	19511210	12
249180270	"ISTEBNA-MŁODAGÓRA"	19511211	5.5
249180270	"ISTEBNA-MŁODAGÓRA"	19511212	5.1
249180270	"ISTEBNA-MŁODAGÓRA"	19511213	16.1
249180270	"ISTEBNA-MŁODAGÓRA"	19511214	9.5
249180270	"ISTEBNA-MŁODAGÓRA"	19511215	10
249180270	"ISTEBNA-MŁODAGÓRA"	19511216	2.3
249180270	"ISTEBNA-MŁODAGÓRA"	19511217	0.7
249180270	"ISTEBNA-MŁODAGÓRA"	19511227	2.3
249180270	"ISTEBNA-MŁODAGÓRA"	19511228	6.1
249180270	"ISTEBNA-MŁODAGÓRA"	19511229	3.7
249180270	"ISTEBNA-MŁODAGÓRA"	19511230	2.4
249180270	"ISTEBNA-MŁODAGÓRA"	19511231	0.9
249180270	"ISTEBNA-MŁODAGÓRA"	19520104	6
249180270	"ISTEBNA-MŁODAGÓRA"	19520105	6.6
249180270	"ISTEBNA-MŁODAGÓRA"	19520106	3.9
249180270	"ISTEBNA-MŁODAGÓRA"	19520107	2.4
249180270	"ISTEBNA-MŁODAGÓRA"	19520108	2.5
249180270	"ISTEBNA-MŁODAGÓRA"	19520110	0.4
249180270	"ISTEBNA-MŁODAGÓRA"	19520111	5.3
249180270	"ISTEBNA-MŁODAGÓRA"	19520113	8.6
249180270	"ISTEBNA-MŁODAGÓRA"	19520114	2.1
249180270	"ISTEBNA-MŁODAGÓRA"	19520115	0.9
249180270	"ISTEBNA-MŁODAGÓRA"	19520117	1.9
249180270	"ISTEBNA-MŁODAGÓRA"	19520118	14.1
249180270	"ISTEBNA-MŁODAGÓRA"	19520119	8.1
249180270	"ISTEBNA-MŁODAGÓRA"	19520120	7.2
249180270	"ISTEBNA-MŁODAGÓRA"	19520121	3.4
249180270	"ISTEBNA-MŁODAGÓRA"	19520126	3.6
249180270	"ISTEBNA-MŁODAGÓRA"	19520127	12.1
249180270	"ISTEBNA-MŁODAGÓRA"	19520128	3.6
249180270	"ISTEBNA-MŁODAGÓRA"	19520201	11.4
249180270	"ISTEBNA-MŁODAGÓRA"	19520202	3.1
249180270	"ISTEBNA-MŁODAGÓRA"	19520203	1.4
