"date"	"yy"	"mm"	"dd"	"hh"	"ws"	"wd"	"pm10"	"air_t"	"slp"
2005-01-26	2005	1	26	11.5	6.29166666666667	48.4146142811799	30.0208333333333	-6.5875	1029.54166666667
2005-01-27	2005	1	27	11.5	3.79166666666667	334.411655070303	25.7291666666667	-6.83333333333333	1021.54166666667
2005-01-28	2005	1	28	11.5	1.20833333333333	225.383167722557	59.7708333333333	-6.625	1022.75
2005-01-29	2005	1	29	11.5	2.375	267.431230560762	34.8958333333333	-7.2125	1027.20833333333
2005-01-30	2005	1	30	11.5	3.79166666666667	224.918636825462	33.9791666666667	-4.46666666666667	1024.625
2005-01-31	2005	1	31	11.5	6.66666666666667	276.341113437823	14.6875	0.1375	1015.25
2005-02-01	2005	2	1	11.5	5.08333333333333	295.735314782161	27.5454545454545	-0.895454545454545	1016.54545454545
2005-02-02	2005	2	2	11.5	4.45833333333333	292.351201635388	25.2291666666667	-1.15	1027.66666666667
2005-02-03	2005	2	3	11.5	1.75	358.274950319754	27.75	-1.975	1036.70833333333
2005-02-04	2005	2	4	11.5	1.625	149.968486383772	85.2916666666667	-2.06666666666667	1043.79166666667
2005-02-05	2005	2	5	11.5	3.95833333333333	127.188981024927	74.7708333333333	-6.0375	1043.58333333333
2005-02-06	2005	2	6	11.5	4.91666666666667	110	62.1041666666667	-7.29166666666667	1031.20833333333
2005-02-07	2005	2	7	11.5	4.91666666666667	112.625831845627	71.1666666666667	-7.89583333333333	1033.79166666667
2005-02-08	2005	2	8	11.5	4.375	133.587822134254	75.2708333333333	-5.25416666666667	1032.91666666667
2005-02-09	2005	2	9	11.5	2.625	146.641454435299	63.4375	-4.30416666666667	1026.08333333333
2005-02-10	2005	2	10	11.5	4.75	203.547746315174	69.3541666666667	0.0875	1018.83333333333
2005-02-11	2005	2	11	11.5	3.83333333333333	258.007714892407	38.5217391304348	0.756521739130435	1012.47826086957
2005-02-12	2005	2	12	11.5	4.25	172.120900192651	57.5625	-0.0541666666666667	995.458333333333
2005-02-13	2005	2	13	11.5	7.375	246.220770496336	7.27083333333333	0.945833333333333	977.666666666667
2005-02-14	2005	2	14	11.5	4.5	247.366961350809	13.2916666666667	-1.7125	985.916666666667
2005-02-15	2005	2	15	11.5	3.5	41.6951558285118	37.1875	-2.38333333333333	1002.79166666667
2005-02-16	2005	2	16	11.5	6.25	25.3579968021917	25.5416666666667	-2.70416666666667	1008.79166666667
2005-02-17	2005	2	17	11.5	4.95833333333333	332.184868740779	19.2291666666667	-2.48333333333333	1012.5
2005-02-18	2005	2	18	11.5	4.83333333333333	288.506627006791	22.6458333333333	-4.33333333333333	1012.375
2005-02-19	2005	2	19	11.5	3.16666666666667	209.945862115885	45.6458333333333	-4.64583333333333	1002.95833333333
2005-02-20	2005	2	20	11.5	1.625	119.733253440309	78.3541666666667	-2.94583333333333	1003.20833333333
2005-02-21	2005	2	21	11.5	4.20833333333333	68.8812909249082	105.020833333333	-3.75	1008.375
2005-02-22	2005	2	22	11.5	5.29166666666667	66.087888586383	48.4583333333333	-4.84583333333333	1006.45833333333
2005-02-23	2005	2	23	11.5	5.29166666666667	91.8604194545913	36.5	-2.3	1003.04166666667
2005-02-24	2005	2	24	11.5	2.91666666666667	41.7587560177242	36.8541666666667	-2.675	1009.375
2005-02-25	2005	2	25	11.5	2.83333333333333	42.3757293321092	54.0208333333333	-3.04166666666667	1009.375
2005-02-26	2005	2	26	11.5	2.91666666666667	14.8656788613822	53.0833333333333	-4.44166666666667	1005.66666666667
2005-02-27	2005	2	27	11.5	2.625	347.307777347023	26.1666666666667	-9.3125	1009.41666666667
2005-02-28	2005	2	28	11.5	4.04166666666667	287.946728874937	29.5625	-8.84166666666667	1010.08333333333
2005-03-01	2005	3	1	11.5	4.91666666666667	248.126969764554	26.8125	-5.09166666666667	1002.5
2005-03-02	2005	3	2	11.5	4.04166666666667	209.028098703529	43.3958333333333	-5.82083333333333	1002.41666666667
2005-03-03	2005	3	3	11.5	1.58333333333333	190.554401878396	78.3958333333333	-5.7125	1006.70833333333
2005-03-04	2005	3	4	11.5	1.20833333333333	38.5006007196921	114.333333333333	-5.15	1008.20833333333
2005-03-05	2005	3	5	11.5	1.95833333333333	31.0459738775507	111.125	-5.75	1004.29166666667
2005-03-06	2005	3	6	11.5	5	331.142682746239	42.6041666666667	-4.7375	1005.54166666667
2005-03-07	2005	3	7	11.5	7	294.030256885748	24.8541666666667	-3.42083333333333	1005.25
2005-03-08	2005	3	8	11.5	5.125	302.126980857815	28.5208333333333	-0.695833333333333	1008.04166666667
2005-03-09	2005	3	9	11.5	3.875	342.180521609488	16.3125	-4.46666666666667	1019.41666666667
2005-03-10	2005	3	10	11.5	5.20833333333333	283.3905014169	18.6875	-5.86666666666667	1024.20833333333
2005-03-11	2005	3	11	11.5	6.04166666666667	239.378318432047	23.3541666666667	-2.22916666666667	999.708333333333
2005-03-12	2005	3	12	11.5	5.875	254.170738245906	14.4583333333333	-1.60833333333333	989
2005-03-13	2005	3	13	11.5	4.20833333333333	292.718025275109	17.7916666666667	-3.20416666666667	998.75
2005-03-14	2005	3	14	11.5	3.70833333333333	237.644001006006	30.2916666666667	-0.554166666666667	1008.45833333333
2005-03-15	2005	3	15	11.5	2.66666666666667	221.264298576673	62.0833333333333	1.35	1014.58333333333
2005-03-16	2005	3	16	11.5	4.29166666666667	220.485902972539	57.1458333333333	6.14583333333333	1014.5
2005-03-17	2005	3	17	11.5	6.66666666666667	263.65182322902	27.9375	9.14166666666667	1009.41666666667
2005-03-18	2005	3	18	11.5	7.16666666666667	296.593040185332	11.9583333333333	7.67916666666667	1010.04166666667
2005-03-19	2005	3	19	11.5	4.125	14.6614030741707	13.3958333333333	-2.28333333333333	1022.04166666667
2005-03-20	2005	3	20	11.5	1.125	335.938812905831	30.0208333333333	-3.5	1024.83333333333
2005-03-21	2005	3	21	11.5	1.75	96.6533862682674	48.5833333333333	-2.475	1021.20833333333
2005-03-22	2005	3	22	11.5	2.5	140.473655249037	52.5833333333333	1.15416666666667	1017.58333333333
2005-03-23	2005	3	23	11.5	2.375	181.05124820012	94.2083333333333	5.6	1015.16666666667
2005-03-24	2005	3	24	11.5	1.29166666666667	296.62186523215	68.1041666666667	8.13333333333333	1016
2005-03-25	2005	3	25	11.5	3.33333333333333	110.729010465863	85.375	6.275	1013.54166666667
2005-03-26	2005	3	26	11.5	3.83333333333333	86.5550158356113	69.6041666666667	6.11666666666667	1007.91666666667
2005-03-27	2005	3	27	11.5	4.83333333333333	85.6863222444537	42.1458333333333	4.2	1008
2005-03-28	2005	3	28	11.5	3.70833333333333	70.7791538801602	19.3333333333333	2.91666666666667	1011.66666666667
2005-03-29	2005	3	29	11.5	4.41666666666667	81.265284974087	33.8125	4.02916666666667	1014.95833333333
2005-03-30	2005	3	30	11.5	5.20833333333333	74.2179328109446	29.0416666666667	3.11666666666667	1019.75
2005-03-31	2005	3	31	11.5	4.20833333333333	79.1893872071606	36.9130434782609	2.19565217391304	1025.65217391304
2005-04-01	2005	4	1	11.5	1.54166666666667	123.029100550779	NA	NA	NA
2005-04-02	2005	4	2	11.5	2.08333333333333	112.005137740021	NA	NA	NA
2005-04-03	2005	4	3	11.5	2.08333333333333	132.557764426649	NA	NA	NA
2005-04-04	2005	4	4	11.5	2.625	156.323352018856	NA	NA	NA
2005-04-05	2005	4	5	11.5	4.20833333333333	260.979914730708	NA	NA	NA
2005-04-06	2005	4	6	11.5	2.83333333333333	192.561001175206	24.9791666666667	8.525	1017.16666666667
2005-04-07	2005	4	7	11.5	4.20833333333333	202.710771898125	29.0416666666667	10.8333333333333	1001.625
2005-04-08	2005	4	8	11.5	2.29166666666667	218.235462979397	16.25	9.70416666666667	997.708333333333
2005-04-09	2005	4	9	11.5	2.45833333333333	347.474858314523	15.8333333333333	6.17083333333333	1004.875
2005-04-10	2005	4	10	11.5	3.29166666666667	282.550745556463	16.7916666666667	3.94166666666667	1016.16666666667
2005-04-11	2005	4	11	11.5	3.25	275.395051167435	20.7916666666667	7.3	1021.375
2005-04-12	2005	4	12	11.5	1.16666666666667	137.788163742921	44.9166666666667	9.3375	1016.75
2005-04-13	2005	4	13	11.5	1.45833333333333	234.81917563206	58.9375	10.575	1007.41666666667
2005-04-14	2005	4	14	11.5	1.29166666666667	96.1699911238972	84.0833333333333	10.8958333333333	1005.33333333333
2005-04-15	2005	4	15	11.5	2.04166666666667	65.5896380312714	64.4375	12.675	1003.5
2005-04-16	2005	4	16	11.5	3.04166666666667	72.4553977743485	40.375	12.7916666666667	1001.83333333333
2005-04-17	2005	4	17	11.5	4.08333333333333	64.5258242957986	36	13.9541666666667	997.25
2005-04-18	2005	4	18	11.5	4.54166666666667	51.8570371735744	28.8541666666667	10.9625	1000
2005-04-19	2005	4	19	11.5	4.45833333333333	32.2662778712549	24.9166666666667	7.64583333333333	1005.29166666667
2005-04-20	2005	4	20	11.5	5.58333333333333	44.8520421216808	19.25	2.64583333333333	1014.125
2005-04-21	2005	4	21	11.5	2.5	345.386200559295	22.0625	1.9625	1020.75
2005-04-22	2005	4	22	11.5	2.08333333333333	310.11259073544	34.0625	4.14583333333333	1017.33333333333
2005-04-23	2005	4	23	11.5	3.375	73.1461489936772	23.5	4.85833333333333	1018.08333333333
2005-04-24	2005	4	24	11.5	3.5	83.0134782401412	19.2291666666667	5.1	1018.375
2005-04-25	2005	4	25	11.5	6.25	76.0968010027508	23.8541666666667	7.65	1015.625
2005-04-26	2005	4	26	11.5	3.58333333333333	56.4833278596991	26.7708333333333	9.30833333333333	1021.91666666667
2005-04-27	2005	4	27	11.5	2.95833333333333	137.553603538652	37.7708333333333	8.69166666666667	1014
2005-04-28	2005	4	28	11.5	5.5	299.663417925748	16.4375	7.55416666666667	1016.33333333333
2005-04-29	2005	4	29	11.5	1.66666666666667	70.1777647805778	20.7708333333333	9.52916666666667	1021.58333333333
2005-04-30	2005	4	30	11.5	2.33333333333333	112.552076671183	34.3333333333333	13.4791666666667	1017.125
2005-05-01	2005	5	1	11.5	2.125	94.5736489278108	26.1041666666667	15.9958333333333	1011.95833333333
2005-05-02	2005	5	2	11.5	4.04166666666667	117.327949463636	30.4166666666667	17.0458333333333	1013.70833333333
2005-05-03	2005	5	3	11.5	3.16666666666667	306.980600635783	18.4791666666667	18.2208333333333	1010
2005-05-04	2005	5	4	11.5	4.54166666666667	291.771682386261	17.0416666666667	13.4	1005.33333333333
2005-05-05	2005	5	5	11.5	4.95833333333333	315.130440373118	12.1666666666667	9.65714285714286	1007.80952380952
2005-05-06	2005	5	6	11.5	3.83333333333333	262.199338030572	11.6041666666667	7.13333333333333	1006.91666666667
2005-05-07	2005	5	7	11.5	3.54166666666667	246.721179371272	8.33333333333333	7.175	1004.08333333333
2005-05-08	2005	5	8	11.5	3.75	334.446395765149	13.5625	4.55833333333333	1001.45833333333
2005-05-09	2005	5	9	11.5	2.375	244.503773889062	16.9375	4.83333333333333	1008.54166666667
2005-05-10	2005	5	10	11.5	3.375	252.518954088846	16.3958333333333	6.075	1012.41666666667
2005-05-11	2005	5	11	11.5	3.58333333333333	270.606838870344	15.4583333333333	5.57916666666667	1016.95833333333
2005-05-12	2005	5	12	11.5	3.16666666666667	308.035404770684	8.25	6.59583333333333	1022.16666666667
2005-05-13	2005	5	13	11.5	2.16666666666667	308.888657948219	11.8333333333333	9.4	1020.58333333333
