"V1"	"V2"	"V3"	"V4"
249180250	"WISŁA-GŁĘBCE"	19511121	6
249180250	"WISŁA-GŁĘBCE"	19511122	23.5
249180250	"WISŁA-GŁĘBCE"	19511123	9.4
249180250	"WISŁA-GŁĘBCE"	19511124	3.5
249180250	"WISŁA-GŁĘBCE"	19511125	5
249180250	"WISŁA-GŁĘBCE"	19511126	3
249180250	"WISŁA-GŁĘBCE"	19511127	2.4
249180250	"WISŁA-GŁĘBCE"	19511128	3.2
249180250	"WISŁA-GŁĘBCE"	19511129	5
249180250	"WISŁA-GŁĘBCE"	19511130	15.4
249180250	"WISŁA-GŁĘBCE"	19511203	20.3
249180250	"WISŁA-GŁĘBCE"	19511204	1
249180250	"WISŁA-GŁĘBCE"	19511205	2.4
249180250	"WISŁA-GŁĘBCE"	19511209	4.5
249180250	"WISŁA-GŁĘBCE"	19511210	6
249180250	"WISŁA-GŁĘBCE"	19511211	7.2
249180250	"WISŁA-GŁĘBCE"	19511212	2
249180250	"WISŁA-GŁĘBCE"	19511213	26
249180250	"WISŁA-GŁĘBCE"	19511214	10
249180250	"WISŁA-GŁĘBCE"	19511216	2
249180250	"WISŁA-GŁĘBCE"	19511217	1
249180250	"WISŁA-GŁĘBCE"	19511228	7
249180250	"WISŁA-GŁĘBCE"	19511229	5
249180250	"WISŁA-GŁĘBCE"	19511230	3.2
249180250	"WISŁA-GŁĘBCE"	19511231	4.7
249180250	"WISŁA-GŁĘBCE"	19520101	3.2
249180250	"WISŁA-GŁĘBCE"	19520102	4.7
249180250	"WISŁA-GŁĘBCE"	19520104	5.1
249180250	"WISŁA-GŁĘBCE"	19520105	3.9
249180250	"WISŁA-GŁĘBCE"	19520106	3.1
249180250	"WISŁA-GŁĘBCE"	19520107	1.3
249180250	"WISŁA-GŁĘBCE"	19520109	0.2
249180250	"WISŁA-GŁĘBCE"	19520110	8.3
249180250	"WISŁA-GŁĘBCE"	19520111	2.4
249180250	"WISŁA-GŁĘBCE"	19520112	3
249180250	"WISŁA-GŁĘBCE"	19520113	2
249180250	"WISŁA-GŁĘBCE"	19520114	1.5
249180250	"WISŁA-GŁĘBCE"	19520115	1
249180250	"WISŁA-GŁĘBCE"	19520117	2
249180250	"WISŁA-GŁĘBCE"	19520118	15.7
249180250	"WISŁA-GŁĘBCE"	19520119	10
249180250	"WISŁA-GŁĘBCE"	19520120	12
249180250	"WISŁA-GŁĘBCE"	19520121	5.4
249180250	"WISŁA-GŁĘBCE"	19520128	9
249180250	"WISŁA-GŁĘBCE"	19520129	6.3
249180250	"WISŁA-GŁĘBCE"	19520201	6.2
249180250	"WISŁA-GŁĘBCE"	19520202	10
249180250	"WISŁA-GŁĘBCE"	19520204	4
249180250	"WISŁA-GŁĘBCE"	19520205	12
249180250	"WISŁA-GŁĘBCE"	19520206	2
249180250	"WISŁA-GŁĘBCE"	19520207	1.3
249180250	"WISŁA-GŁĘBCE"	19520209	2
249180250	"WISŁA-GŁĘBCE"	19520211	10
249180250	"WISŁA-GŁĘBCE"	19520213	1.5
249180250	"WISŁA-GŁĘBCE"	19520214	28
249180250	"WISŁA-GŁĘBCE"	19520215	16.2
249180250	"WISŁA-GŁĘBCE"	19520216	2
249180250	"WISŁA-GŁĘBCE"	19520217	5.3
249180250	"WISŁA-GŁĘBCE"	19520218	3.5
249180250	"WISŁA-GŁĘBCE"	19520219	4.5
249180250	"WISŁA-GŁĘBCE"	19520220	9
249180250	"WISŁA-GŁĘBCE"	19520221	15.5
249180250	"WISŁA-GŁĘBCE"	19520222	16.2
249180250	"WISŁA-GŁĘBCE"	19520223	6.5
249180250	"WISŁA-GŁĘBCE"	19520224	3.6
249180250	"WISŁA-GŁĘBCE"	19520226	22.2
249180250	"WISŁA-GŁĘBCE"	19520227	2.5
249180250	"WISŁA-GŁĘBCE"	19520228	3.2
249180250	"WISŁA-GŁĘBCE"	19520229	4.3
249180250	"WISŁA-GŁĘBCE"	19520301	8.2
249180250	"WISŁA-GŁĘBCE"	19520303	1
249180250	"WISŁA-GŁĘBCE"	19520305	4
249180250	"WISŁA-GŁĘBCE"	19520306	3
249180250	"WISŁA-GŁĘBCE"	19520307	1
249180250	"WISŁA-GŁĘBCE"	19520313	10
249180250	"WISŁA-GŁĘBCE"	19520314	1.7
249180250	"WISŁA-GŁĘBCE"	19520323	10
249180250	"WISŁA-GŁĘBCE"	19520324	8
249180250	"WISŁA-GŁĘBCE"	19520326	13.6
249180250	"WISŁA-GŁĘBCE"	19520327	1.5
249180250	"WISŁA-GŁĘBCE"	19520401	20.1
249180250	"WISŁA-GŁĘBCE"	19520402	3.5
249180250	"WISŁA-GŁĘBCE"	19520416	6
249180250	"WISŁA-GŁĘBCE"	19520426	1
249180250	"WISŁA-GŁĘBCE"	19520427	2.3
249180250	"WISŁA-GŁĘBCE"	19520428	3.5
249180250	"WISŁA-GŁĘBCE"	19520429	6.5
249180250	"WISŁA-GŁĘBCE"	19520506	1.4
249180250	"WISŁA-GŁĘBCE"	19520507	22.2
249180250	"WISŁA-GŁĘBCE"	19520509	2
249180250	"WISŁA-GŁĘBCE"	19520512	10.5
249180250	"WISŁA-GŁĘBCE"	19520513	1.6
249180250	"WISŁA-GŁĘBCE"	19520514	1.4
249180250	"WISŁA-GŁĘBCE"	19520515	12.3
249180250	"WISŁA-GŁĘBCE"	19520517	6.4
249180250	"WISŁA-GŁĘBCE"	19520519	8
249180250	"WISŁA-GŁĘBCE"	19520520	7
249180250	"WISŁA-GŁĘBCE"	19520521	10.4
249180250	"WISŁA-GŁĘBCE"	19520523	2
249180250	"WISŁA-GŁĘBCE"	19520524	17.6
249180250	"WISŁA-GŁĘBCE"	19520525	0.2
249180250	"WISŁA-GŁĘBCE"	19520526	10.4
249180250	"WISŁA-GŁĘBCE"	19520528	7.2
249180250	"WISŁA-GŁĘBCE"	19520601	3.5
249180250	"WISŁA-GŁĘBCE"	19520602	4
249180250	"WISŁA-GŁĘBCE"	19520603	32.5
249180250	"WISŁA-GŁĘBCE"	19520604	3.2
249180250	"WISŁA-GŁĘBCE"	19520607	10
249180250	"WISŁA-GŁĘBCE"	19520608	1
249180250	"WISŁA-GŁĘBCE"	19520609	10
249180250	"WISŁA-GŁĘBCE"	19520610	3.5
249180250	"WISŁA-GŁĘBCE"	19520611	14.2
249180250	"WISŁA-GŁĘBCE"	19520614	1
249180250	"WISŁA-GŁĘBCE"	19520616	17.2
249180250	"WISŁA-GŁĘBCE"	19520618	3.2
249180250	"WISŁA-GŁĘBCE"	19520619	6.3
249180250	"WISŁA-GŁĘBCE"	19520620	30.2
249180250	"WISŁA-GŁĘBCE"	19520621	1.3
249180250	"WISŁA-GŁĘBCE"	19520623	17.2
249180250	"WISŁA-GŁĘBCE"	19520624	10
249180250	"WISŁA-GŁĘBCE"	19520625	7
249180250	"WISŁA-GŁĘBCE"	19520626	6
249180250	"WISŁA-GŁĘBCE"	19520627	2
249180250	"WISŁA-GŁĘBCE"	19520712	4.2
249180250	"WISŁA-GŁĘBCE"	19520716	10
249180250	"WISŁA-GŁĘBCE"	19520717	2
249180250	"WISŁA-GŁĘBCE"	19520718	10
249180250	"WISŁA-GŁĘBCE"	19520723	6.2
249180250	"WISŁA-GŁĘBCE"	19520729	7.2
249180250	"WISŁA-GŁĘBCE"	19520816	10
249180250	"WISŁA-GŁĘBCE"	19520817	15
249180250	"WISŁA-GŁĘBCE"	19520819	1
249180250	"WISŁA-GŁĘBCE"	19520820	15
249180250	"WISŁA-GŁĘBCE"	19520822	2
249180250	"WISŁA-GŁĘBCE"	19520823	10
249180250	"WISŁA-GŁĘBCE"	19520825	3
249180250	"WISŁA-GŁĘBCE"	19520828	1
249180250	"WISŁA-GŁĘBCE"	19520831	13
249180250	"WISŁA-GŁĘBCE"	19520901	7.2
249180250	"WISŁA-GŁĘBCE"	19520902	8.1
249180250	"WISŁA-GŁĘBCE"	19520903	1
249180250	"WISŁA-GŁĘBCE"	19520906	20
249180250	"WISŁA-GŁĘBCE"	19520907	13.5
249180250	"WISŁA-GŁĘBCE"	19520908	5
249180250	"WISŁA-GŁĘBCE"	19520909	35.2
249180250	"WISŁA-GŁĘBCE"	19520910	1.3
249180250	"WISŁA-GŁĘBCE"	19520911	3.2
249180250	"WISŁA-GŁĘBCE"	19520912	4.1
249180250	"WISŁA-GŁĘBCE"	19520913	12.5
249180250	"WISŁA-GŁĘBCE"	19520914	2
249180250	"WISŁA-GŁĘBCE"	19520918	4.3
